id	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0
scaffold100307-2309	4	7.744e-01	1.288e+00	3.418e+00	7.062e-01	5.212e-01	2.860e-01	4.183e+01	3.847e+01	7.240e+00	3.265e+00
scaffold100307-2393	4	7.989e-01	1.906e+00	2.241e+00	3.951e-01	5.411e-01	2.790e-01	2.513e+01	2.935e+01	4.528e+00	2.804e+00
scaffold100307-2547	4	7.983e-01	1.815e+00	2.113e+00	3.905e-01	5.278e-01	2.836e-01	3.109e+01	3.306e+01	3.527e+00	2.960e+00
scaffold100307-2558	4	8.076e-01	-4.465e-01	1.967e+00	8.204e-01	5.427e-01	2.853e-01	2.664e+01	3.208e+01	8.271e+00	3.176e+00
scaffold100307-2568	4	8.003e-01	5.555e+00	3.621e+00	1.250e-01	5.375e-01	2.851e-01	2.929e+01	3.221e+01	3.804e+00	2.924e+00
scaffold100307-2578	4	7.835e-01	-1.089e+00	2.869e+00	7.044e-01	5.260e-01	2.891e-01	3.808e+01	3.495e+01	7.704e+00	3.631e+00
scaffold100307-6838	4	7.851e-01	2.598e+00	2.447e+00	2.884e-01	5.298e-01	2.909e-01	3.976e+01	3.438e+01	3.106e+00	3.049e+00
scaffold100307-6865	4	7.236e-01	4.813e+00	3.574e+00	1.781e-01	5.094e-01	2.847e-01	5.814e+01	3.660e+01	4.559e+00	3.704e+00
scaffold100382-10866	4	7.937e-01	2.812e+00	2.457e+00	2.524e-01	5.266e-01	2.816e-01	3.547e+01	3.245e+01	3.075e+00	2.924e+00
scaffold100503-2162	4	7.605e-01	5.312e+00	3.317e+00	1.093e-01	5.153e-01	2.796e-01	4.607e+01	3.593e+01	3.884e+00	3.427e+00
scaffold10052-6716	4	7.686e-01	5.645e+00	4.025e+00	1.607e-01	5.205e-01	2.848e-01	4.652e+01	3.598e+01	4.846e+00	3.299e+00
scaffold100623-5919	4	7.500e-01	-1.596e+00	3.267e+00	6.252e-01	5.258e-01	2.829e-01	4.769e+01	3.651e+01	8.599e+00	3.696e+00
scaffold100660-2975	4	7.966e-01	2.267e+00	2.915e+00	4.367e-01	5.214e-01	2.910e-01	3.057e+01	3.215e+01	8.814e+00	3.473e+00
scaffold100660-3022	4	8.025e-01	-4.903e-01	2.016e+00	8.079e-01	5.160e-01	2.828e-01	2.758e+01	2.985e+01	7.302e+00	2.996e+00
scaffold10071-8520	4	7.493e-01	3.362e+00	3.398e+00	3.225e-01	5.167e-01	2.845e-01	5.186e+01	3.586e+01	3.764e+00	3.369e+00
scaffold10071-8537	4	5.853e-01	3.695e+00	3.723e+00	3.210e-01	4.763e-01	2.840e-01	8.464e+01	3.550e+01	8.069e+00	4.583e+00
scaffold100798-23507	4	7.725e-01	4.638e+00	3.948e+00	2.401e-01	5.277e-01	2.823e-01	4.051e+01	3.475e+01	4.436e+00	3.451e+00
scaffold100798-23517	4	7.876e-01	4.306e+00	3.721e+00	2.471e-01	5.262e-01	2.879e-01	3.826e+01	3.280e+01	3.673e+00	3.083e+00
scaffold100798-23536	4	7.870e-01	5.793e+00	4.220e+00	1.699e-01	5.311e-01	2.911e-01	3.852e+01	3.149e+01	4.304e+00	3.025e+00
scaffold100853-6089	4	7.618e-01	4.114e+00	3.218e+00	2.011e-01	5.326e-01	2.777e-01	4.619e+01	3.427e+01	6.404e+00	3.370e+00
scaffold100853-7057	4	8.040e-01	-2.079e-02	1.671e+00	9.901e-01	5.339e-01	2.911e-01	2.151e+01	2.928e+01	5.475e+00	2.988e+00
scaffold100853-7572	4	7.776e-01	3.820e+00	3.425e+00	2.647e-01	5.292e-01	2.875e-01	4.232e+01	3.470e+01	5.536e+00	3.267e+00
scaffold100853-9102	4	7.896e-01	-1.109e+00	3.226e+00	7.311e-01	5.281e-01	2.805e-01	3.129e+01	3.148e+01	1.148e+01	4.817e+00
scaffold100853-11451	4	8.043e-01	6.103e-03	2.256e+00	9.978e-01	5.484e-01	2.870e-01	2.697e+01	3.084e+01	7.849e+00	3.208e+00
scaffold100905-344	4	7.846e-01	3.529e+00	3.993e+00	3.768e-01	5.201e-01	2.860e-01	4.094e+01	3.445e+01	5.897e+00	3.312e+00
scaffold100905-349	4	8.067e-01	1.583e+00	2.469e+00	5.216e-01	5.479e-01	2.821e-01	2.688e+01	3.093e+01	4.736e+00	2.819e+00
scaffold100905-378	4	7.955e-01	4.451e+00	3.544e+00	2.092e-01	5.240e-01	2.898e-01	3.206e+01	3.221e+01	5.261e+00	2.894e+00
scaffold100905-22380	4	7.528e-01	3.045e+00	2.822e+00	2.806e-01	5.291e-01	2.781e-01	4.959e+01	3.605e+01	5.762e+00	3.511e+00
scaffold100937-6755	4	8.006e-01	8.759e+00	4.161e+00	3.529e-02	5.392e-01	2.780e-01	3.038e+01	3.160e+01	3.032e+00	2.938e+00
scaffold101047-10354	4	8.115e-01	2.386e+00	2.158e+00	2.688e-01	5.452e-01	2.865e-01	2.487e+01	2.999e+01	3.885e+00	2.764e+00
scaffold101064-10394	4	7.830e-01	-1.598e+00	2.618e+00	5.415e-01	5.391e-01	2.830e-01	3.019e+01	3.303e+01	7.816e+00	3.405e+00
scaffold101093-11531	4	8.089e-01	2.195e-01	1.796e+00	9.028e-01	5.483e-01	2.814e-01	1.950e+01	2.737e+01	5.687e+00	2.801e+00
scaffold101181-6065	4	7.635e-01	4.610e+00	3.297e+00	1.620e-01	5.255e-01	2.846e-01	5.029e+01	3.459e+01	3.563e+00	3.306e+00
scaffold101229-4800	4	8.068e-01	2.317e-01	2.144e+00	9.140e-01	5.318e-01	2.814e-01	2.235e+01	2.955e+01	6.322e+00	2.801e+00
scaffold101229-4823	4	8.135e-01	2.924e+00	2.659e+00	2.714e-01	5.230e-01	2.846e-01	2.793e+01	3.219e+01	3.799e+00	2.988e+00
scaffold101229-4876	4	8.023e-01	1.924e-01	2.108e+00	9.273e-01	5.336e-01	2.849e-01	2.375e+01	2.810e+01	7.773e+00	2.977e+00
scaffold101272-7453	4	7.360e-01	3.880e+00	3.390e+00	2.523e-01	5.099e-01	2.836e-01	5.339e+01	3.521e+01	4.593e+00	3.631e+00
scaffold10132-11356	4	7.559e-01	5.721e+00	4.317e+00	1.851e-01	5.048e-01	2.866e-01	4.792e+01	3.419e+01	3.600e+00	3.350e+00
scaffold101474-6329	4	7.530e-01	3.497e+00	3.038e+00	2.497e-01	5.163e-01	2.855e-01	5.069e+01	3.460e+01	5.061e+00	3.402e+00
scaffold101478-7863	4	6.845e-01	5.120e+00	3.960e+00	1.961e-01	5.017e-01	2.822e-01	6.315e+01	4.055e+01	5.938e+00	3.895e+00
scaffold101478-10405	4	7.452e-01	4.297e+00	4.084e+00	2.926e-01	5.221e-01	2.862e-01	5.474e+01	3.586e+01	5.360e+00	3.523e+00
scaffold10149-18668	4	7.840e-01	2.558e+00	2.963e+00	3.879e-01	5.273e-01	2.849e-01	3.811e+01	3.365e+01	6.490e+00	3.390e+00
scaffold10149-22090	4	7.987e-01	5.164e-01	2.178e+00	8.125e-01	5.346e-01	2.795e-01	2.521e+01	3.070e+01	6.954e+00	2.986e+00
scaffold10149-22113	4	7.975e-01	4.066e-01	1.761e+00	8.174e-01	5.286e-01	2.888e-01	2.596e+01	3.183e+01	5.270e+00	3.018e+00
scaffold10149-22144	4	8.035e-01	2.319e-01	2.080e+00	9.112e-01	5.422e-01	2.884e-01	2.220e+01	2.895e+01	6.735e+00	2.764e+00
scaffold101512-2539	4	7.782e-01	1.462e+00	2.684e+00	5.859e-01	5.385e-01	2.843e-01	3.626e+01	3.310e+01	8.598e+00	3.773e+00
scaffold101512-3225	4	7.780e-01	-2.457e+00	3.571e+00	4.915e-01	5.213e-01	2.856e-01	3.790e+01	3.381e+01	9.196e+00	3.369e+00
scaffold101512-3291	4	7.977e-01	-4.502e-01	2.056e+00	8.267e-01	5.263e-01	2.916e-01	2.220e+01	2.831e+01	6.763e+00	2.880e+00
scaffold101512-3303	4	8.067e-01	8.595e-01	2.161e+00	6.908e-01	5.377e-01	2.860e-01	2.122e+01	2.760e+01	5.381e+00	2.774e+00
scaffold101512-3318	4	7.750e-01	4.849e-01	2.515e+00	8.471e-01	5.369e-01	2.822e-01	3.901e+01	3.515e+01	7.883e+00	2.890e+00
scaffold101512-3343	4	6.773e-01	1.267e+00	3.289e+00	7.000e-01	4.958e-01	2.880e-01	6.401e+01	4.034e+01	1.079e+01	5.102e+00
scaffold101517-10764	4	7.048e-01	3.216e+00	2.875e+00	2.633e-01	5.047e-01	2.788e-01	6.096e+01	3.948e+01	4.603e+00	3.742e+00
scaffold101517-10886	4	7.829e-01	2.632e+00	3.175e+00	4.072e-01	5.319e-01	2.892e-01	4.248e+01	3.339e+01	4.299e+00	3.116e+00
scaffold101517-10891	4	7.899e-01	2.403e+00	2.618e+00	3.587e-01	5.328e-01	2.875e-01	3.653e+01	3.376e+01	4.042e+00	2.907e+00
scaffold101517-33280	4	7.705e-01	-8.294e-01	2.178e+00	7.034e-01	5.408e-01	2.841e-01	4.109e+01	3.653e+01	8.659e+00	3.123e+00
scaffold1016-15503	4	7.770e-01	5.585e+00	3.541e+00	1.147e-01	5.341e-01	2.809e-01	4.405e+01	3.427e+01	4.193e+00	3.140e+00
scaffold10167-11708	4	7.632e-01	1.512e+00	2.863e+00	5.974e-01	5.205e-01	2.948e-01	4.201e+01	3.686e+01	1.168e+01	4.740e+00
scaffold101695-2837	4	7.585e-01	7.594e+00	3.850e+00	4.852e-02	5.318e-01	2.840e-01	4.770e+01	3.527e+01	7.175e+00	3.430e+00
scaffold101877-16331	4	7.863e-01	5.938e+00	3.536e+00	9.309e-02	5.047e-01	2.849e-01	4.343e+01	3.588e+01	3.139e+00	3.136e+00
scaffold101880-6068	4	7.641e-01	1.627e+00	2.415e+00	5.006e-01	5.300e-01	2.902e-01	4.120e+01	3.495e+01	8.962e+00	3.410e+00
scaffold101892-9022	4	8.104e-01	4.121e+00	2.842e+00	1.471e-01	5.474e-01	2.824e-01	2.903e+01	3.100e+01	3.729e+00	2.876e+00
scaffold102092-757	4	7.908e-01	3.969e+00	3.119e+00	2.032e-01	5.174e-01	2.810e-01	3.864e+01	3.465e+01	5.158e+00	3.234e+00
scaffold102092-964	4	7.791e-01	4.014e+00	3.331e+00	2.282e-01	5.211e-01	2.797e-01	4.247e+01	3.345e+01	4.478e+00	3.103e+00
scaffold102092-973	4	7.822e-01	7.124e+00	3.947e+00	7.107e-02	5.318e-01	2.821e-01	4.414e+01	3.493e+01	3.435e+00	3.212e+00
scaffold102092-1039	4	7.848e-01	5.671e+00	3.556e+00	1.108e-01	5.174e-01	2.837e-01	4.580e+01	3.471e+01	4.488e+00	3.314e+00
scaffold102092-1049	4	7.964e-01	2.823e+00	2.662e+00	2.890e-01	5.309e-01	2.864e-01	3.656e+01	3.287e+01	3.211e+00	2.972e+00
scaffold102118-14742	4	7.920e-01	4.145e+00	3.049e+00	1.740e-01	5.167e-01	2.920e-01	3.143e+01	3.384e+01	2.911e+00	3.002e+00
scaffold102149-4257	4	7.885e-01	2.909e+00	2.961e+00	3.258e-01	5.279e-01	2.912e-01	3.744e+01	3.459e+01	4.233e+00	3.127e+00
scaffold102171-3759	4	7.302e-01	4.758e+00	4.178e+00	2.548e-01	5.083e-01	2.879e-01	5.306e+01	3.846e+01	7.618e+00	4.564e+00
scaffold102213-5695	4	7.876e-01	3.536e+00	2.719e+00	1.935e-01	5.404e-01	2.862e-01	3.793e+01	3.286e+01	3.006e+00	3.039e+00
scaffold102213-5734	4	7.891e-01	3.901e+00	2.993e+00	1.925e-01	5.212e-01	2.862e-01	3.658e+01	3.347e+01	2.800e+00	3.111e+00
scaffold102217-221	4	7.996e-01	4.999e+00	3.057e+00	1.020e-01	5.451e-01	2.726e-01	2.965e+01	3.227e+01	3.408e+00	2.983e+00
scaffold102217-5983	4	6.227e-01	3.036e+00	2.559e+00	2.355e-01	4.828e-01	2.816e-01	7.152e+01	4.003e+01	7.582e+00	4.963e+00
scaffold102253-19211	4	7.739e-01	1.291e+00	2.332e+00	5.799e-01	5.155e-01	2.855e-01	4.470e+01	3.571e+01	5.243e+00	3.251e+00
scaffold102253-19273	4	7.810e-01	4.717e+00	3.328e+00	1.564e-01	5.406e-01	2.884e-01	3.489e+01	3.373e+01	3.999e+00	3.034e+00
scaffold102253-19290	4	6.811e-01	5.739e+00	3.809e+00	1.318e-01	5.002e-01	2.815e-01	6.623e+01	3.700e+01	7.587e+00	3.999e+00
scaffold102253-19303	4	7.891e-01	3.624e+00	3.365e+00	2.815e-01	5.481e-01	2.844e-01	3.251e+01	3.219e+01	3.855e+00	2.987e+00
scaffold102253-19332	4	7.965e-01	2.362e+00	2.297e+00	3.039e-01	5.465e-01	2.766e-01	2.843e+01	3.139e+01	3.690e+00	2.857e+00
scaffold102255-8783	4	7.756e-01	2.497e+00	2.466e+00	3.112e-01	5.278e-01	2.796e-01	3.870e+01	3.138e+01	3.492e+00	3.086e+00
scaffold102255-8793	4	7.910e-01	6.717e+00	3.652e+00	6.589e-02	5.188e-01	2.869e-01	3.539e+01	3.252e+01	3.405e+00	2.957e+00
scaffold102255-9111	4	7.853e-01	5.627e+00	3.639e+00	1.220e-01	5.411e-01	2.792e-01	4.012e+01	3.355e+01	3.603e+00	3.020e+00
scaffold102255-11329	4	7.523e-01	1.860e+00	2.615e+00	4.768e-01	5.317e-01	2.803e-01	4.977e+01	3.618e+01	6.886e+00	3.643e+00
scaffold102255-15873	4	7.765e-01	-2.054e+00	3.599e+00	5.681e-01	5.460e-01	2.858e-01	3.528e+01	3.548e+01	9.796e+00	4.806e+00
scaffold102321-14606	4	7.568e-01	3.285e+00	3.157e+00	2.981e-01	5.199e-01	2.871e-01	5.045e+01	3.621e+01	4.879e+00	3.434e+00
scaffold102363-3173	4	7.421e-01	3.476e+00	3.568e+00	3.298e-01	5.366e-01	2.870e-01	5.419e+01	3.512e+01	5.660e+00	3.388e+00
scaffold10248-13076	4	7.402e-01	6.456e+00	4.182e+00	1.227e-01	5.216e-01	2.911e-01	5.196e+01	3.588e+01	3.472e+00	3.468e+00
scaffold10248-13222	4	7.772e-01	4.922e+00	3.853e+00	2.014e-01	5.250e-01	2.854e-01	4.180e+01	3.349e+01	4.421e+00	2.968e+00
scaffold102515-8535	4	7.240e-01	2.270e-01	4.119e+00	9.560e-01	5.287e-01	2.848e-01	5.834e+01	3.773e+01	1.020e+01	3.968e+00
scaffold102515-8537	4	6.588e-01	1.322e+00	3.601e+00	7.135e-01	5.090e-01	2.893e-01	7.018e+01	3.743e+01	7.843e+00	4.050e+00
scaffold102639-8474	4	7.325e-01	3.831e+00	3.337e+00	2.510e-01	5.181e-01	2.873e-01	5.434e+01	3.773e+01	4.569e+00	4.008e+00
scaffold102684-2777	4	8.082e-01	2.285e+00	2.650e+00	3.884e-01	5.377e-01	2.847e-01	1.983e+01	2.591e+01	7.212e+00	3.006e+00
scaffold102684-2828	4	7.815e-01	-1.234e+00	2.103e+00	5.574e-01	5.269e-01	2.763e-01	3.138e+01	3.459e+01	8.502e+00	3.187e+00
scaffold102684-2832	4	7.743e-01	1.143e+00	2.902e+00	6.937e-01	5.391e-01	2.810e-01	3.798e+01	3.563e+01	9.016e+00	4.161e+00
scaffold102684-2837	4	8.099e-01	1.645e+00	1.786e+00	3.571e-01	5.151e-01	2.843e-01	1.932e+01	2.663e+01	3.353e+00	2.693e+00
scaffold10276-11822	4	6.555e-01	5.152e+00	4.134e+00	2.127e-01	5.027e-01	2.847e-01	6.701e+01	3.981e+01	6.241e+00	4.068e+00
scaffold102818-2448	4	7.725e-01	4.480e+00	3.157e+00	1.559e-01	5.341e-01	2.844e-01	4.290e+01	3.564e+01	4.396e+00	3.260e+00
scaffold102818-6536	4	8.105e-01	4.269e+00	2.960e+00	1.492e-01	5.222e-01	2.886e-01	2.538e+01	3.034e+01	3.862e+00	2.888e+00
scaffold102818-6633	4	7.960e-01	3.974e+00	2.740e+00	1.470e-01	5.303e-01	2.827e-01	2.529e+01	2.973e+01	3.700e+00	2.725e+00
scaffold102868-15530	4	7.408e-01	4.383e+00	3.565e+00	2.190e-01	5.031e-01	2.841e-01	5.511e+01	3.708e+01	5.022e+00	3.686e+00
scaffold102923-5248	4	7.390e-01	7.168e+00	4.230e+00	9.017e-02	5.028e-01	2.830e-01	5.697e+01	3.715e+01	4.099e+00	3.576e+00
scaffold102923-5264	4	7.716e-01	7.926e+00	4.311e+00	6.596e-02	5.255e-01	2.858e-01	4.407e+01	3.296e+01	3.273e+00	3.149e+00
scaffold102923-5282	4	7.538e-01	4.664e+00	3.692e+00	2.065e-01	5.214e-01	2.671e-01	4.922e+01	3.664e+01	3.887e+00	3.612e+00
scaffold102923-5988	4	7.277e-01	7.376e+00	3.873e+00	5.688e-02	5.125e-01	2.779e-01	5.225e+01	3.784e+01	4.945e+00	4.024e+00
scaffold102923-6922	4	6.779e-01	4.127e+00	3.954e+00	2.966e-01	5.089e-01	2.851e-01	6.570e+01	3.690e+01	6.441e+00	4.217e+00
scaffold102923-6980	4	6.840e-01	2.108e+00	2.631e+00	4.229e-01	5.109e-01	2.850e-01	6.743e+01	3.646e+01	6.483e+00	3.831e+00
scaffold102952-11500	4	8.007e-01	5.323e+00	3.396e+00	1.171e-01	5.390e-01	2.824e-01	2.918e+01	3.059e+01	4.246e+00	2.910e+00
scaffold103034-4649	4	7.368e-01	1.604e+00	2.963e+00	5.882e-01	5.150e-01	2.808e-01	5.515e+01	3.587e+01	6.458e+00	3.650e+00
scaffold103034-4727	4	7.612e-01	2.201e+00	3.038e+00	4.686e-01	5.521e-01	2.825e-01	4.509e+01	3.621e+01	6.677e+00	3.687e+00
scaffold103034-4744	4	7.964e-01	-2.324e+00	2.628e+00	3.767e-01	5.325e-01	2.826e-01	2.821e+01	3.107e+01	8.333e+00	3.467e+00
scaffold103090-13315	4	7.554e-01	4.189e+00	3.292e+00	2.032e-01	5.196e-01	2.891e-01	4.607e+01	3.638e+01	4.404e+00	3.653e+00
scaffold103163-1646	4	7.461e-01	6.695e+00	4.195e+00	1.105e-01	5.160e-01	2.853e-01	5.227e+01	3.701e+01	4.234e+00	3.727e+00
scaffold103163-9256	4	7.688e-01	2.803e+00	2.970e+00	3.453e-01	5.344e-01	2.886e-01	4.109e+01	3.587e+01	6.152e+00	3.472e+00
scaffold103163-9261	4	8.148e-01	1.719e+00	1.847e+00	3.519e-01	5.406e-01	2.913e-01	2.140e+01	2.751e+01	3.606e+00	2.629e+00
scaffold103163-9269	4	7.484e-01	3.991e+00	3.195e+00	2.115e-01	5.342e-01	2.861e-01	5.178e+01	3.997e+01	5.924e+00	3.800e+00
scaffold103247-1607	4	7.782e-01	5.761e+00	3.727e+00	1.222e-01	5.122e-01	2.854e-01	4.145e+01	3.567e+01	4.724e+00	3.498e+00
scaffold103247-1665	4	8.067e-01	1.307e+00	1.759e+00	4.576e-01	5.347e-01	2.905e-01	2.281e+01	2.905e+01	3.351e+00	2.531e+00
scaffold103271-5184	4	7.937e-01	6.135e+00	3.989e+00	1.241e-01	5.132e-01	2.930e-01	3.669e+01	3.280e+01	3.500e+00	3.082e+00
scaffold103282-3302	4	7.552e-01	3.773e+00	3.329e+00	2.570e-01	5.189e-01	2.901e-01	4.821e+01	3.544e+01	4.405e+00	3.172e+00
scaffold103296-9387	4	7.515e-01	5.183e+00	3.480e+00	1.364e-01	5.056e-01	2.889e-01	5.032e+01	3.696e+01	5.191e+00	3.382e+00
scaffold103296-9437	4	7.953e-01	4.353e+00	3.114e+00	1.622e-01	5.194e-01	2.872e-01	3.768e+01	3.465e+01	3.960e+00	3.373e+00
scaffold103363-17957	4	7.561e-01	5.743e+00	3.376e+00	8.894e-02	5.357e-01	2.825e-01	4.733e+01	3.640e+01	4.355e+00	3.382e+00
scaffold10339-11206	4	7.898e-01	-1.170e+00	3.319e+00	7.244e-01	5.221e-01	2.838e-01	3.081e+01	3.309e+01	7.816e+00	3.252e+00
scaffold103397-13520	4	7.494e-01	3.034e+00	3.404e+00	3.726e-01	5.178e-01	2.850e-01	4.975e+01	3.616e+01	5.225e+00	3.309e+00
scaffold103430-6833	4	8.074e-01	1.665e+00	2.227e+00	4.546e-01	5.463e-01	2.805e-01	2.319e+01	2.841e+01	3.794e+00	2.725e+00
scaffold103433-19744	4	7.810e-01	4.257e+00	3.014e+00	1.578e-01	5.205e-01	2.910e-01	4.330e+01	3.532e+01	5.420e+00	3.354e+00
scaffold10344-16865	4	7.671e-01	7.602e+00	4.153e+00	6.716e-02	5.161e-01	2.858e-01	4.824e+01	3.578e+01	4.709e+00	3.327e+00
scaffold10344-16930	4	7.531e-01	7.337e+00	4.162e+00	7.795e-02	5.126e-01	2.893e-01	4.849e+01	3.591e+01	4.386e+00	3.346e+00
scaffold10344-29644	4	7.565e-01	3.271e+00	2.456e+00	1.829e-01	5.290e-01	2.866e-01	5.185e+01	3.602e+01	4.992e+00	3.358e+00
scaffold103451-3069	4	8.018e-01	3.621e+00	3.603e+00	3.149e-01	5.365e-01	2.833e-01	3.078e+01	3.141e+01	5.294e+00	3.065e+00
scaffold103481-3505	4	7.988e-01	-3.347e-01	2.358e+00	8.871e-01	5.407e-01	2.830e-01	2.480e+01	3.112e+01	5.923e+00	2.876e+00
scaffold103616-9394	4	7.985e-01	1.722e+00	2.485e+00	4.881e-01	5.300e-01	2.856e-01	3.065e+01	3.088e+01	5.275e+00	2.922e+00
scaffold103617-5591	4	7.228e-01	4.182e+00	3.770e+00	2.673e-01	4.910e-01	2.824e-01	5.886e+01	3.466e+01	5.798e+00	3.823e+00
scaffold103692-18138	4	7.883e-01	-2.666e-01	3.734e+00	9.431e-01	5.473e-01	2.777e-01	3.302e+01	3.443e+01	6.362e+00	3.338e+00
scaffold103725-20489	4	7.205e-01	5.204e+00	3.425e+00	1.286e-01	5.111e-01	2.818e-01	5.809e+01	3.649e+01	5.541e+00	3.520e+00
scaffold103741-3520	4	7.715e-01	6.298e+00	4.103e+00	1.248e-01	5.135e-01	2.867e-01	4.232e+01	3.304e+01	4.848e+00	3.186e+00
scaffold103741-3536	4	7.795e-01	8.982e+00	4.297e+00	3.660e-02	5.329e-01	2.770e-01	4.724e+01	3.591e+01	4.503e+00	3.259e+00
scaffold103741-3597	4	7.610e-01	5.380e+00	3.386e+00	1.121e-01	5.068e-01	2.860e-01	4.674e+01	3.421e+01	4.027e+00	3.394e+00
scaffold103789-14228	4	7.651e-01	2.165e+00	2.600e+00	4.049e-01	5.249e-01	2.854e-01	4.691e+01	3.489e+01	4.437e+00	3.310e+00
scaffold103789-14240	4	7.775e-01	7.731e+00	3.959e+00	5.082e-02	5.372e-01	2.888e-01	4.257e+01	3.658e+01	3.674e+00	3.578e+00
scaffold103808-398	4	7.996e-01	6.639e+00	3.570e+00	6.296e-02	5.531e-01	2.868e-01	3.036e+01	3.465e+01	4.156e+00	3.110e+00
scaffold103835-4426	4	7.260e-01	5.254e+00	3.940e+00	1.824e-01	5.176e-01	2.778e-01	5.507e+01	3.669e+01	6.434e+00	3.846e+00
scaffold103835-4455	4	7.914e-01	6.473e+00	3.872e+00	9.464e-02	5.112e-01	2.869e-01	3.398e+01	3.276e+01	4.207e+00	3.312e+00
scaffold103835-4621	4	7.825e-01	4.707e+00	3.088e+00	1.274e-01	5.135e-01	2.824e-01	3.689e+01	3.520e+01	4.122e+00	3.103e+00
scaffold103835-4703	4	8.003e-01	4.195e+00	3.071e+00	1.720e-01	5.442e-01	2.798e-01	3.331e+01	3.300e+01	5.158e+00	3.017e+00
scaffold103946-20218	4	7.697e-01	6.242e+00	4.322e+00	1.487e-01	5.377e-01	2.841e-01	4.811e+01	3.512e+01	3.283e+00	3.263e+00
scaffold104040-10426	4	7.548e-01	3.471e-01	2.692e+00	8.974e-01	5.195e-01	2.872e-01	4.355e+01	3.625e+01	7.955e+00	4.068e+00
scaffold104046-4410	4	7.804e-01	-1.479e-01	2.300e+00	9.487e-01	5.277e-01	2.828e-01	3.919e+01	3.557e+01	9.973e+00	4.045e+00
scaffold104046-4418	4	8.082e-01	3.765e-01	3.814e+00	9.214e-01	5.265e-01	2.873e-01	2.568e+01	3.057e+01	6.916e+00	3.198e+00
scaffold104048-10332	4	7.701e-01	2.886e+00	2.635e+00	2.735e-01	5.187e-01	2.927e-01	4.540e+01	3.357e+01	4.234e+00	3.087e+00
scaffold104048-10402	4	7.938e-01	5.972e+00	3.630e+00	9.992e-02	5.339e-01	2.805e-01	3.673e+01	3.183e+01	3.355e+00	2.984e+00
scaffold104112-5299	4	7.845e-01	3.392e+00	2.738e+00	2.154e-01	5.326e-01	2.943e-01	3.740e+01	3.372e+01	4.239e+00	3.077e+00
scaffold104112-9985	4	7.788e-01	4.274e+00	3.393e+00	2.078e-01	5.316e-01	2.866e-01	3.998e+01	3.357e+01	5.113e+00	3.412e+00
